familyname,birth_lng,birth_lat,work_lng,work_lat,count
Ҷ,110.3308018,20.02207128,110.3255255,20.04404944,4
Ҷ,110.3308018,20.02207128,117.2108131,39.1439299,1
Ҷ,110.2578473,20.42996757,113.2714313,23.13533631,1
Ҷ,110.3380218,21.09410036,110.9315426,21.66906403,1
Ҷ,110.3380218,21.09410036,116.4133837,39.91092455,1
Ҷ,110.385196,21.2048474,110.3255255,20.04404944,1
Ҷ,110.385196,21.2048474,110.3655544,21.27672344,5
Ҷ,110.385196,21.2048474,113.5825548,22.27656465,1
Ҷ,110.385196,21.2048474,114.0645518,22.54845664,1
Ҷ,110.385196,21.2048474,113.2714313,23.13533631,2
Ҷ,110.0398954,21.27030738,110.3655544,21.27672344,1
Ҷ,110.0398954,21.27030738,113.7584205,23.02730841,1
Ҷ,110.0398954,21.27030738,113.2714313,23.13533631,1
Ҷ,110.5127261,21.28381977,110.3655544,21.27672344,2
Ҷ,110.379723,21.28766789,110.3655544,21.27672344,2
Ҷ,110.7081871,21.44168104,114.0645518,22.54845664,1
Ҷ,110.7081871,21.44168104,104.0815335,30.65582188,1
Ҷ,109.1653436,21.51862078,109.1265332,21.4868365,1
Ҷ,109.4224893,21.57491537,109.1265332,21.4868365,1
Ҷ,110.1417114,21.64526523,113.2714313,23.13533631,1
Ҷ,110.8686098,21.67611592,110.9315426,21.66906403,4
Ҷ,110.8686098,21.67611592,114.0645518,22.54845664,1
Ҷ,110.8686098,21.67611592,114.3115816,30.59846674,1
Ҷ,111.2405533,21.68502817,113.2714313,23.13533631,1
Ҷ,111.2405533,21.68502817,121.6515474,38.92451112,1
Ҷ,109.3353935,21.74044434,108.3734508,22.8226066,1
Ҷ,111.9300357,21.76280364,111.9884893,21.86433973,4
Ҷ,111.9300357,21.76280364,114.0645518,22.54845664,1
Ҷ,108.8165239,21.89668072,108.6605802,21.98659354,2
Ҷ,112.0662826,21.96385493,111.9884893,21.86433973,2
Ҷ,113.4175899,22.04721493,116.4133837,39.91092455,1
Ҷ,110.2721129,22.25174704,114.3115816,30.59846674,1
Ҷ,113.533731,22.26559984,113.5825548,22.27656465,5
Ҷ,113.533731,22.26559984,121.4805389,31.23592904,1
Ҷ,113.533731,22.26559984,117.2108131,39.1439299,1
Ҷ,113.3970513,22.52488153,113.5825548,22.27656465,1
Ҷ,113.3970513,22.52488153,113.0885562,22.58460388,1
Ҷ,113.3970513,22.52488153,113.1285122,23.02775875,3
Ҷ,113.42206,22.54517751,121.6515474,38.92451112,1
Ҷ,114.0555928,22.55173057,114.0645518,22.54845664,1
Ҷ,113.9507227,22.55888775,114.0645518,22.54845664,1
Ҷ,114.1563953,22.58193448,114.0645518,22.54845664,2
Ҷ,114.3476957,22.65746229,114.0645518,22.54845664,5
Ҷ,111.4932421,22.69098399,113.5825548,22.27656465,1
Ҷ,113.9300131,22.70743279,114.0645518,22.54845664,7
Ҷ,115.4243577,22.76871005,115.3729243,22.7787305,3
Ҷ,115.4264912,22.77773329,115.3729243,22.7787305,1
Ҷ,103.8234494,22.7873626,102.8524484,24.87399815,1
Ҷ,115.2863223,22.96959952,114.0645518,22.54845664,1
Ҷ,115.2863223,22.96959952,113.2714313,23.13533631,1
Ҷ,113.763434,23.04302382,113.7584205,23.02730841,8
Ҷ,114.9555177,23.0491175,114.423558,23.11635885,1
Ҷ,113.3338413,23.08762923,113.2714313,23.13533631,30
Ҷ,113.2344228,23.0936662,113.2714313,23.13533631,27
Ҷ,112.4777939,23.10332326,113.2714313,23.13533631,1
Ҷ,113.2421756,23.10730947,113.2714313,23.13533631,10
Ҷ,113.4928846,23.10871181,113.2714313,23.13533631,2
Ҷ,113.287833,23.13927786,113.2714313,23.13533631,24
Ҷ,114.4858976,23.1630635,114.0645518,22.54845664,2
Ҷ,113.3856429,23.16612927,110.3655544,21.27672344,1
Ҷ,113.3856429,23.16612927,113.7584205,23.02730841,1
Ҷ,113.3856429,23.16612927,113.1285122,23.02775875,1
Ҷ,113.3856429,23.16612927,113.2714313,23.13533631,12
Ҷ,113.3856429,23.16612927,116.6885286,23.35909172,1
Ҷ,113.3856429,23.16612927,115.8645894,28.6894553,1
Ҷ,115.6291963,23.28440692,113.5825548,22.27656465,1
