source,target,weight
北京,上海,1.0
深圳,上海,0.4331431406598859
广州,上海,0.10071942446043165
天津,上海,0.09662614735797569
杭州,上海,0.24658893574795337
苏州,上海,0.18829074671297444
宁波,上海,0.13110890597866534
拉萨,上海,0.0539568345323741
南京,上海,0.09712230215827339
东莞,上海,0.015256760109154057
成都,上海,0.055321260233192754
福州,上海,0.0347308360208385
无锡,上海,0.05916645993549988
重庆,上海,0.0347308360208385
嘉兴,上海,0.05494914413296949
厦门,上海,0.033614487720168694
武汉,上海,0.031753907219052344
郑州,上海,0.029521210617712727
石家庄,上海,0.009302902505581741
珠海,上海,0.024559662614735796
济南,上海,0.01612503100967502
青岛,上海,0.040560654924336394
西安,上海,0.01699330191019598
长沙,上海,0.019101959811461174
合肥,上海,0.03510295212106177
大连,上海,0.023939469114363683
惠州,上海,0.00012403870007442322
南通,上海,0.03671545522202927
绍兴,上海,0.01314810220788886
温州,上海,0.033118332919871
佛山,上海,0.004961548002976929
常州,上海,0.031133713718680227
银川,上海,0.00012403870007442322
乌鲁木齐,上海,0.01004713470602828
湖州,上海,0.008558670305135203
南昌,上海,0.017117340610270405
哈尔滨,上海,0.008806747705284048
新余,上海,0.012279831307367898
泉州,上海,0.005085586703051352
沈阳,上海,0.008682709005209625
海口,上海,0.007938476804763086
太原,上海,0.005457702803274621
金华,上海,0.014760605308856364
南宁,上海,0.0053336641032001985
昆明,上海,0.00806251550483751
长春,上海,0.0024807740014884646
中山,上海,0.01662118580997271
汕头,上海,0.0034730836020838503
台州,上海,0.014016373108409823
镇江,上海,0.013892334408335401
舟山,上海,0.00657405110394443
九江,上海,0.0019846192011907715
潍坊,上海,0.0037211610022326964
烟台,上海,0.010419250806251551
贵阳,上海,0.00657405110394443
保定,上海,0.00037211610022326965
泰州,上海,0.007938476804763086
宜春,上海,0.004465393202679236
鹰潭,上海,0.0012403870007442323
兰州,上海,0.0012403870007442323
芜湖,上海,0.005829818903497892
呼和浩特,上海,0.00024807740014884643
盐城,上海,0.005829818903497892
扬州,上海,0.005457702803274621
临沂,上海,0.00012403870007442322
绵阳,上海,0.0004961548002976929
淄博,上海,0.004465393202679236
漳州,上海,0.00024807740014884643
开封,上海,0.00012403870007442322
洛阳,上海,0.0007442322004465393
邯郸,上海,0.0007442322004465393
西宁,上海,0.00012403870007442322
连云港,上海,0.0031009675018605805
淮北,上海,0.0027288514016373107
萍乡,上海,0.0004961548002976929
东营,上海,0.0016125031009675019
马鞍山,上海,0.0009923096005953857
德州,上海,0.0
徐州,上海,0.002232696601339618
三亚,上海,0.0021086579012651947
淮安,上海,0.0019846192011907715
宜昌,上海,0.0004961548002976929
滁州,上海,0.0007442322004465393
铜陵,上海,0.00012403870007442322
宣城,上海,0.0009923096005953857
日照,上海,0.0014884644008930786
秦皇岛,上海,0.0
济宁,上海,0.0007442322004465393
赣州,上海,0.0008682709005209626
清远,上海,0.0014884644008930786
株洲,上海,0.00012403870007442322
宿迁,上海,0.00012403870007442322
泸州,上海,0.0008682709005209626
岳阳,上海,0.0
吉林,上海,0.00012403870007442322
蚌埠,上海,0.0009923096005953857
周口,上海,0.0012403870007442323
威海,上海,0.0007442322004465393
通辽,上海,0.0006201935003721161
衢州,上海,0.00024807740014884643
许昌,上海,0.0008682709005209626
云浮,上海,0.0009923096005953857
黄山,上海,0.0009923096005953857
伊春,上海,0.0
漯河,上海,0.0007442322004465393
菏泽,上海,0.0007442322004465393
潮州,上海,0.00012403870007442322
怀化,上海,0.0004961548002976929
景德镇,上海,0.00024807740014884643
北京,深圳,0.8017861572810717
上海,深圳,0.44368643016621184
广州,深圳,0.41193252294715954
天津,深圳,0.07045398164227239
杭州,深圳,0.06499627883899776
苏州,深圳,0.028404862317042916
宁波,深圳,0.02158273381294964
拉萨,深圳,0.028032746216819646
南京,深圳,0.030761597618456957
东莞,深圳,0.09588191515752915
成都,深圳,0.06263954353758372
福州,深圳,0.014884644008930786
无锡,深圳,0.005085586703051352
重庆,深圳,0.05519722153311833
嘉兴,深圳,0.009923096005953858
厦门,深圳,0.030141404118084844
武汉,深圳,0.04738278342842967
郑州,深圳,0.02927313321756388
