投资方所在城市,融资方所在城市,投资企业对数,lng_tz,lat_tz,lng_rz,lat_rz
北京,上海,8065,116.409349256,40.1841180253,121.404084553,31.0844617511
深圳,上海,3495,113.981097454,22.6612174267,121.404084553,31.0844617511
广州,上海,815,113.535309762,23.3572458759,121.404084553,31.0844617511
天津,上海,782,117.332394543,39.3085542563,121.404084553,31.0844617511
杭州,上海,1991,119.484701009,29.9049798065,121.404084553,31.0844617511
苏州,上海,1521,120.64180324,31.3759706021,121.404084553,31.0844617511
宁波,上海,1060,121.462283516,29.7195882339,121.404084553,31.0844617511
拉萨,上海,438,91.1028799309,30.0334521208,121.404084553,31.0844617511
南京,上海,786,118.842463658,31.9287592963,121.404084553,31.0844617511
东莞,上海,126,113.877717876,22.9852478082,121.404084553,31.0844617511
成都,上海,449,103.501067544,30.5086877776,121.404084553,31.0844617511
福州,上海,283,119.156889973,26.0641963059,121.404084553,31.0844617511
无锡,上海,480,120.351629529,31.6615440474,121.404084553,31.0844617511
重庆,上海,283,107.864385258,30.0553736852,121.404084553,31.0844617511
嘉兴,上海,446,120.753919978,30.654868568,121.404084553,31.0844617511
厦门,上海,274,118.110687591,24.6830448658,121.404084553,31.0844617511
武汉,上海,259,114.338092289,30.6256542221,121.404084553,31.0844617511
郑州,上海,241,113.471850802,34.6263627848,121.404084553,31.0844617511
石家庄,上海,78,114.44284612,38.1289585008,121.404084553,31.0844617511
珠海,上海,201,113.251442783,22.1619886251,121.404084553,31.0844617511
济南,上海,133,117.08325858,36.7325316169,121.404084553,31.0844617511
青岛,上海,330,120.143935648,36.456032729,121.404084553,31.0844617511
西安,上海,140,108.789503511,34.1107819802,121.404084553,31.0844617511
长沙,上海,157,113.152959363,28.2295131059,121.404084553,31.0844617511
合肥,上海,286,117.286266302,31.9771580754,121.404084553,31.0844617511
大连,上海,196,122.219575666,39.6124317573,121.404084553,31.0844617511
惠州,上海,4,114.497757221,23.2450284889,121.404084553,31.0844617511
南通,上海,299,120.996756876,32.1893721211,121.404084553,31.0844617511
绍兴,上海,109,120.628874142,29.7126723592,121.404084553,31.0844617511
温州,上海,270,120.010122334,27.6625993395,121.404084553,31.0844617511
佛山,上海,43,112.94508169,23.0127749858,121.404084553,31.0844617511
常州,上海,254,119.679057019,31.6925543935,121.404084553,31.0844617511
银川,上海,4,106.341244948,38.2192835973,121.404084553,31.0844617511
乌鲁木齐,上海,84,87.8094631006,43.5313046469,121.404084553,31.0844617511
湖州,上海,72,119.871227322,30.74619674,121.404084553,31.0844617511
南昌,上海,141,116.024443256,28.6633621609,121.404084553,31.0844617511
哈尔滨,上海,74,127.962992428,45.6369913133,121.404084553,31.0844617511
新余,上海,102,114.851202951,27.8472307759,121.404084553,31.0844617511
泉州,上海,44,118.255654583,25.211170451,121.404084553,31.0844617511
沈阳,上海,73,123.136692183,42.093659482,121.404084553,31.0844617511
海口,上海,67,110.425851879,19.8310955934,121.404084553,31.0844617511
太原,上海,47,112.314062259,37.9595409573,121.404084553,31.0844617511
金华,上海,122,119.954268808,29.1164535388,121.404084553,31.0844617511
南宁,上海,46,108.464015667,23.0584134307,121.404084553,31.0844617511
昆明,上海,68,102.875102299,25.3852977816,121.404084553,31.0844617511
长春,上海,23,125.766739888,44.3768728237,121.404084553,31.0844617511
中山,上海,137,113.389491138,22.5221140275,121.404084553,31.0844617511
汕头,上海,31,116.555530272,23.330681385,121.404084553,31.0844617511
台州,上海,116,121.089649417,28.7920082915,121.404084553,31.0844617511
镇江,上海,115,119.481985492,32.0667749698,121.404084553,31.0844617511
舟山,上海,56,122.13917249,30.0553941995,121.404084553,31.0844617511
九江,上海,19,115.437787326,29.3279801382,121.404084553,31.0844617511
潍坊,上海,33,119.075691601,36.536594451,121.404084553,31.0844617511
烟台,上海,87,120.805459739,37.2364773878,121.404084553,31.0844617511
贵阳,上海,56,106.707306335,26.8429934259,121.404084553,31.0844617511
保定,上海,6,115.168613586,39.0222939691,121.404084553,31.0844617511
泰州,上海,67,120.05755184,32.295852384,121.404084553,31.0844617511
宜春,上海,39,115.061146398,28.5700976185,121.404084553,31.0844617511
鹰潭,上海,13,117.10685019,28.2253820103,121.404084553,31.0844617511
兰州,上海,13,103.638543494,36.3489055767,121.404084553,31.0844617511
芜湖,上海,50,118.326617536,31.0667366723,121.404084553,31.0844617511
呼和浩特,上海,5,111.399370918,40.5810079565,121.404084553,31.0844617511
盐城,上海,50,120.175286224,33.5153555609,121.404084553,31.0844617511
扬州,上海,47,119.471409838,32.7375896346,121.404084553,31.0844617511
临沂,上海,4,118.279789444,35.3092645187,121.404084553,31.0844617511
绵阳,上海,7,104.705358137,31.8468625936,121.404084553,31.0844617511
淄博,上海,39,118.010500338,36.5914699701,121.404084553,31.0844617511
漳州,上海,5,117.441200797,24.3831962252,121.404084553,31.0844617511
