代码,股票名称,现价,开盘价,最高价,最低价,成交量
603999,读者传媒,5.53,5.65,5.65,5.48,2031800
603998,方盛制药,8.94,9.15,9.17,8.91,6776500
603997,继峰股份,7.68,7.6,7.74,7.53,1962480
603996,ST中新,5.68,5.68,5.68,5.68,14600
603993,洛阳钼业,4.04,3.97,4.1,3.92,105404807
603991,至正股份,19.81,20.69,20.69,19.71,784700
603990,麦迪科技,29.66,29,30.2,29,369580
603989,艾华集团,18.7,18.68,18.8,18.46,568854
603988,中电电机,10.78,11.05,11.05,10.67,2303982
603987,康德莱,6.96,7.07,7.07,6.95,942690
603986,兆易创新,79.05,80,80.55,76,7134085
603985,恒润股份,15.54,15.44,15.65,15.38,488250
603982,泉峰汽车,24.99,24.99,24.99,24.33,12176636
603980,吉华集团,14.64,14.75,14.83,14.6,1573200
603979,金诚信,8.48,8.26,8.59,8.23,4302726
603978,深圳新星,19.99,19.95,20.15,19.71,601153
603977,国泰集团,8.49,8.7,9,8.38,12853795
603976,正川股份,15.41,15.41,15.55,15.37,372240
603970,中农立华,18.31,18.5,19.58,18.27,7012121
603969,银龙股份,4.73,4.72,4.77,4.67,2618608
603968,醋化股份,15.84,15.84,15.95,15.71,379200
603967,中创物流,21.79,21.9,21.9,21.57,4256750
603966,法兰泰克,11.05,11.49,11.49,10.88,1687482
603963,大理药业,13.51,13.92,13.95,13.3,950159
603960,克来机电,24.45,24.6,24.86,24.01,515470
603959,百利科技,19.39,19.59,19.59,19.3,412200
603958,哈森股份,7.83,7.94,7.98,7.8,573500
603956,威派格,19.65,19.25,19.88,19.03,3901031
603955,大千生态,15.17,15.18,15.28,15.05,302241
603939,益丰药房,60.42,60.09,61,59.66,425111
603938,三孚股份,17.72,17.82,17.99,17.53,784600
603937,丽岛新材,11.14,11.08,11.16,10.94,1306564
603936,博敏电子,19.11,18.46,19.35,18.37,4940103
603933,睿能科技,18.1,17.7,18.5,17.38,1982948
603929,亚翔集成,19.13,19.2,19.3,18.65,4114200
603928,兴业股份,13.29,13.29,13.37,13.19,407000
603926,铁流股份,15.74,15.85,15.94,15.72,214100
603922,金鸿顺,15.86,15.77,15.91,15.72,450700
603920,世运电路,13.55,13.65,13.75,13.46,2023448
603919,金徽酒,14.29,14.22,14.44,14.19,937290
603918,金桥信息,13.98,14.44,14.47,13.9,1077673
603917,合力科技,11.91,12,12.22,11.88,1095600
603916,苏博特,12.46,12.46,12.65,12.36,607200
603912,佳力图,14.32,14.35,14.49,14.08,1211467
603909,合诚股份,29.91,29.88,29.95,29.27,1067271
603908,牧高笛,23.81,23.72,23.81,23.39,293000
603906,龙蟠科技,15.75,16.44,16.74,15.75,21899685
603903,中持股份,20.24,20.33,20.46,20.05,660892
603901,永创智能,7.83,7.85,7.94,7.75,873900
603900,莱绅通灵,11.7,11.9,11.92,11.7,776960
603899,晨光文具,40.16,40.1,40.78,39.8,1815083
603898,XD好莱客,16.57,16.97,16.97,16.55,378488
603897,长城科技,20.62,20.9,20.9,20.41,547872
603896,寿仙谷,37.88,38.05,38.2,37.59,427600
603895,天永智能,23.09,23.18,23.54,22.94,524789
603890,春秋电子,10.18,10.4,10.4,10.13,4390683
603889,新澳股份,9.46,9.45,9.48,9.41,391505
603888,新华网,20.7,20.8,21.1,20.61,2711450
603887,城地股份,16.19,16.22,16.43,16.02,191700
603886,元祖股份,24.11,24.01,24.42,23.89,473408
603885,吉祥航空,12.28,12.45,12.45,12.26,2595995
603883,老百姓,57.04,57.92,59.5,56.39,1027113
603882,金域医学,32.35,32.34,32.92,32,733103
603881,数据港,31.25,31.58,31.79,31.14,1420100
603880,南卫股份,9.21,9.41,9.44,9.09,1042935
603879,永悦科技,11.34,11.37,11.5,11.2,1047900
603878,武进不锈,16.32,16.26,16.36,16.15,918000
603877,太平鸟,17.54,17.5,17.7,17.46,910600
603876,鼎胜新材,16.58,16.37,16.66,16.32,1541230
603871,嘉友国际,41.88,42.68,42.85,41.83,305452
603869,新智认知,18.69,19,19.04,18.52,644700
603868,飞科电器,37.2,37.9,37.9,37.12,362411
603866,桃李面包,38.75,38.7,39.5,38.12,677642
603861,白云电器,10.01,10.2,10.23,10,518313
603860,中公高科,27.1,27.08,27.28,26.8,123451
603859,能科股份,19.82,20.18,20.19,19.58,1173000
603858,步长制药,25.41,25.56,25.68,25.21,3282994
603856,东宏股份,10.22,10.3,10.35,10.16,1010226
603855,XD华荣股,8.58,8.8,8.8,8.56,1345232
603848,好太太,17.82,18.06,18.09,17.81,483106
603843,正平股份,7.42,7.52,7.53,7.37,2282000
603839,安正时尚,11.44,11.48,11.48,11.36,410620
603838,四通股份,9.27,9.21,9.32,9.15,232450
603833,欧派家居,110,111.99,111.99,108.5,187325
603829,洛凯股份,10.36,10.41,10.5,10.25,770300
603828,柯利达,11.41,11.74,11.74,11.32,624474
603826,坤彩科技,15.87,15.87,15.9,15.65,1197583
603825,华扬联众,12.39,12.75,12.75,12.32,1092560
603823,百合花,18.1,18.45,18.58,17.95,1637263
603822,嘉澳环保,23.75,24.4,24.58,23.61,177900
603819,神力股份,17.66,17.8,17.8,17.58,328666
603818,曲美家居,7.32,7.39,7.41,7.21,388625
603817,海峡环保,6.94,6.98,7.03,6.92,491709
603816,顾家家居,43.27,44,44,43.11,921689
603813,原尚股份,18.29,18.3,18.36,18.1,242638
603811,诚意药业,18.06,18.2,18.2,17.97,326900
603810,丰山集团,38.55,38.5,39.07,38.21,538200
603809,豪能股份,12.61,11.5,12.63,11.48,9799184
603808,歌力思,15,15.17,15.18,14.96,963070
603806,福斯特,33.58,34.61,34.95,32.9,1142957
603803,瑞斯康达,11.84,11.88,11.95,11.56,4034981
603801,志邦家居,18.82,19.58,19.62,18.79,1196240
603800,道森股份,12.63,12.57,12.85,12.57,1774900
603799,华友钴业,28.69,27.45,29.58,26.93,26350808
603798,康普顿,11.06,10.97,11.15,10.93,900700
603797,DR联泰环,10.41,9.66,10.59,9.64,2368300
603790,雅运股份,17.58,18.3,18.45,17.4,6718232
603789,星光农机,13.7,13.48,13.81,13.3,2301988
603788,宁波高发,14.24,14.33,14.33,14.09,304020
603787,新日股份,12.64,12.54,12.74,12.43,686336
603779,威龙股份,13.38,13.38,13.48,13.28,329900
603778,乾景园林,4.17,4.19,4.21,4.12,999100
603777,来伊份,13.27,13.24,13.6,13.17,12297551
603776,永安行,25.8,26.23,26.4,25.26,2004900
603773,沃格光电,31.89,32.43,32.45,31.8,703199
603768,常青股份,11.57,11.74,11.78,11.43,334300
603767,中马传动,7.4,7.54,7.54,7.38,767620
603766,隆鑫通用,4.2,4.24,4.25,4.18,3983950
603758,秦安股份,5.68,5.73,5.74,5.62,435549
603757,大元泵业,14.27,14.38,14.41,14.06,891276
603739,蔚蓝生物,35.34,34,35.34,32.15,7958524
603738,泰晶科技,14.97,15.38,15.5,14.68,5389219
603737,三棵树,55.23,55.79,55.97,54.75,267500
603733,仙鹤股份,14.85,15,15.15,14.83,1210185
603730,岱美股份,23.04,23.44,23.63,22.82,235575
603729,龙韵股份,16.65,17.33,17.33,16.45,980104
603728,鸣志电器,12.47,12.6,12.63,12.43,646430
603727,博迈科,16.95,15.53,16.95,15.53,6122623
603726,朗迪集团,16.9,17.04,17.24,16.9,379600
603725,DR天安新,7.83,8.01,8.07,7.76,975130
603722,阿科力,23.66,23.4,23.88,23.07,2345980
603721,中广天择,19.08,19,19.28,18.81,719800
603718,海利生物,13.96,14.05,14.13,13.8,1965100
603717,天域生态,8.63,8.77,8.77,8.54,1115280
603716,塞力斯,17.77,18.6,18.6,17.25,3774540
603713,密尔克卫,39.09,38.83,39.51,38.58,358400
603712,七一二,21.55,21.7,21.82,21.14,6015192
603711,香飘飘,30.29,31.06,31.06,30,431748
603709,中源家居,34.85,34.8,35.5,34.01,925100
603708,家家悦,28.43,29.04,29.04,28.35,1043351
603707,健友股份,34,34.25,34.52,33.59,1197436
603706,东方环宇,21.59,21.91,22.8,21.55,2183200
603703,盛洋科技,11.54,11.85,11.85,11.5,607564
603701,德宏股份,18.58,18.43,18.58,17.57,13895327
603700,宁波水表,24.45,24.32,24.65,24.19,1118700
603699,纽威股份,12.45,12.5,12.55,12.4,418600
603698,航天工程,16.43,16.58,16.59,16.38,543100
603697,有友食品,19.86,18.68,19.87,18.31,20584173
603696,安记食品,9.5,9.2,9.53,9.11,3039600
603693,江苏新能,12.09,12.08,12.3,12.02,1775800
603690,至纯科技,19.53,19.77,19.84,19.41,1721728
603689,皖天然气,11.12,11.16,11.25,11.11,979100
603688,石英股份,12.92,12.8,13.05,12.61,3125797
603686,龙马环卫,11.41,11.45,11.45,11.31,945400
603685,DR晨丰科,13.28,13.22,13.36,13.1,421403
603683,晶华新材,12.97,13.13,13.24,12.87,663400
603681,永冠新材,25.73,25.13,25.87,24.4,6846326
603680,今创集团,15.26,15.4,15.4,15.22,413272
603679,华体科技,44,45.25,45.5,43.67,160800
603678,火炬电子,20.11,20.35,20.53,20.06,1564018
603677,奇精机械,12.33,12.66,12.78,12.29,788504
603676,XD卫信康,10.69,10.88,10.94,10.59,673778
603669,灵康药业,11.25,11.44,11.45,11.25,775860
603668,天马科技,12.15,14.51,14.76,12.08,49657797
603667,五洲新春,8.5,8.6,8.67,8.45,745490
603666,亿嘉和,50.82,52.1,52.11,50.09,454779
603665,康隆达,23.84,23.73,23.9,23.51,269425
603663,三祥新材,15.8,16.84,16.85,15.28,13808377
603661,恒林股份,33.8,33.6,33.82,33.26,192600
603660,苏州科达,20.5,20.35,20.62,19.99,1526235
603659,璞泰来,45.6,45.82,46.19,45.58,409600
603658,安图生物,63.66,64.04,64.96,62.86,338575
603657,春光科技,25.8,26,26.28,25.71,499300
603656,泰禾光电,16.66,16.87,16.87,16.53,121036
603655,朗博科技,16.81,16.7,16.84,16.5,316200
603650,彤程新材,23.53,25.92,25.92,22.83,14210609
603648,畅联股份,11.4,11.74,11.74,11.21,4326000
603639,海利尔,27.18,27.43,27.43,26.8,860984
603638,艾迪精密,20.17,20.2,20.41,20.03,525712
603637,镇海股份,15.1,15.59,15.59,15.04,1275980
603636,南威软件,9.97,10.13,10.18,9.91,4389070
603633,徕木股份,11.7,11.72,11.78,11.51,543030
603630,拉芳家化,14.34,14.48,14.48,14.27,536310
603629,利通电子,31.62,31.5,32.19,31.12,1627297
603628,清源股份,8.29,8.4,8.4,8.21,714564
603626,科森科技,7.83,7.99,7.99,7.77,1199616
603619,中曼石油,16.73,16.16,16.73,16.16,4529913
603618,杭电股份,6.67,6.16,6.78,6.12,15639174
603617,DR君禾股,16.85,16,17.15,15.81,1028355
603616,韩建河山,10.54,10.21,10.59,10.09,4197050
603615,茶花股份,9.07,9.15,9.17,9.04,475400
603612,索通发展,11.67,11.88,11.89,11.62,2028940
603611,诺力股份,18.13,18.4,18.4,18.13,354120
603609,禾丰牧业,12.54,12.05,12.65,12.05,15374092
603608,天创时尚,7.9,7.93,7.93,7.82,632660
603607,京华激光,18.71,18.9,19.01,18.63,775740
603606,东方电缆,8.51,8.67,8.68,8.44,3911227
603605,珀莱雅,63.7,64.46,64.51,63.12,539289
603603,博天环境,13.98,14.23,14.23,13.8,1285500
603602,纵横通信,20.28,20.84,20.9,20.14,2277768
603601,再升科技,7.22,7.47,7.55,7.13,4776959
603600,永艺股份,9.24,9.43,9.46,9.18,634150
603599,广信股份,14.5,14.54,14.68,14.4,854900
603598,引力传媒,8.31,8.69,8.69,8.3,2319840
603596,伯特利,17.73,17.5,17.74,17.35,980200
603595,东尼电子,23.43,23.04,23.9,22.71,510412
603590,康辰药业,38.03,37.67,38.18,37.65,645598
603589,口子窖,57.59,58.29,59.38,57.26,1051030
603588,高能环境,9.51,9.6,9.65,9.5,1668772
603587,地素时尚,22.58,23.19,23.19,22.52,1027971
603586,XD金麒麟,14.4,14.98,15.04,14.2,985700
603585,苏利股份,24.74,25.06,25.06,24.63,495934
603583,捷昌驱动,35.12,36.21,36.22,35.02,824401
603580,艾艾精工,18.06,18.13,18.17,17.66,346320
603579,荣泰健康,28.39,28.91,28.91,28.25,501143
603578,三星新材,19.68,19.79,19.95,19.6,240781
603577,汇金通,11.92,12.18,12.22,11.85,1826500
603569,长久物流,11.71,11.93,11.93,11.6,1104820
603568,伟明环保,19.18,19.54,19.55,19.13,838797
603567,珍宝岛,12.4,12.54,12.54,12.31,385625
603566,普莱柯,12.76,12.36,12.87,12.22,1255085
603559,中通国脉,18.99,19.44,19.45,18.9,1578514
603558,健盛集团,8.78,9.04,9.04,8.72,1465700
603557,起步股份,8.17,8.46,8.46,8.15,4440308
603556,海兴电力,14.22,14.17,14.25,14.06,791320
603555,贵人鸟,5.49,5.63,5.64,5.46,2350491
603538,美诺华,20.9,20.9,21.1,20.66,2613735
603536,惠发股份,9.49,9.41,9.57,9.41,601827
603535,嘉诚国际,18.35,18.64,18.7,18.3,1070700
603533,掌阅科技,15.85,16,16.08,15.75,1149729
603528,多伦科技,7.47,7.56,7.56,7.42,1525476
603527,众源新材,10.85,10.76,10.98,10.63,836860
603520,司太立,29.1,30.19,30.2,29.09,1027700
603519,XD立霸股,17.18,16.9,17.5,16.26,1606602
603518,DR维格娜,9.69,9.73,9.93,9.61,436000
603517,绝味食品,47.82,47.7,48.45,47.2,1118689
603516,XD淳中科,22.83,22.78,22.92,22.31,620394
603515,欧普照明,32.5,31.8,32.5,31.6,705095
603508,思维列控,69.68,66.66,72.27,66.21,5756404
603507,振江股份,20.44,20.83,20.83,20.36,444700
603506,南都物业,25.92,25.7,25.93,25.28,753750
603505,金石资源,19,18.58,19.11,18.35,5025934
603501,韦尔股份,43.21,44.42,44.5,43.12,2090196
603500,XD祥和实,12.1,12.29,12.29,11.88,984060
603499,翔港科技,35.2,34.7,35.2,33.96,824500
603496,恒为科技,26.8,27.16,27.2,26.63,822745
603488,展鹏科技,8.26,8.33,8.33,8.15,623600
603486,科沃斯,42.18,42.87,43.16,41.81,419827
603477,振静股份,7.6,7.7,7.7,7.53,1531500
603466,风语筑,14.98,15.08,15.15,14.91,757900
603458,勘设股份,33.59,33.8,33.8,33.32,434100
