,imdb_id,imdb_n_comment,imdb_score,name,rating_people,score,上映日期,主演,制片国家/地区,又名,导演,片长,类型,编剧,语言,主演人数,r5,r4,r3,r2,r1
0, tt1587878,222,7,团圆,4247,7.6, 2013-09-19(中国大陆) / 2010-02-11(柏林电影节), 卢燕 / 凌峰 / 徐才根 / 马晓晴 / 莫小棋, 中国大陆, Apart Together, 王全安, 97分钟, 剧情 / 家庭, 金娜 / 王全安, 上海话 / 汉语普通话,5,0.177,0.497,0.283,0.034,0.008
1, tt1810602,999,6,非诚勿扰2,216051,6.5, 2010-12-22(中国大陆), 葛优 / 舒淇 / 孙红雷 / 姚晨 / 安以轩 / 邵兵 / 廖凡 / 邬逸聪 / 关晓彤 / 窦文涛 / 赵宝刚  / 乐嘉 / 张馨予 / 张涵予 / 李晨, 中国大陆, 不省心 / If You Are The One 2, 冯小刚, 120分钟, 喜剧 / 爱情, 王朔 / 冯小刚, 汉语普通话,15,0.077,0.285,0.486,0.124,0.029
2,,,,无蝉的夏天,1126,8.3, 2010-03-19, 吕聿来 / 田璐菡, 中国大陆, At that Summer, 苗月, 94分钟,, 韦华, 普通话/国语 / 四川话,2,0.357,0.459,0.169,0.009,0.006
3, tt1123373,8456,6.6,狄仁杰之通天帝国,138469,6.4, 2010-09-29(中国大陆) / 2010-09-05(威尼斯电影节), 刘德华 / 刘嘉玲 / 李冰冰 / 梁家辉 / 邓超 / 泰迪·罗宾 / 吴耀汉 / 姚橹 / 刘金山 / 马今, 中国大陆 / 香港, 通天神探狄仁杰 / Detective Dee and the Mystery of the Phantom Flame, 徐克, 123分钟, 剧情 / 动作 / 悬疑 / 犯罪 / 古装, 张家鲁 / 陈国富, 汉语普通话 / 粤语,10,0.044,0.27,0.543,0.122,0.022
4, tt2842698,12,6.2,我是植物人,1974,7.5, 2010-10-15, 李乃文 / 冯波, 中国大陆, Vegetate, 王竞, 98分钟, 剧情, 谢晓东 / 周展, 汉语普通话,2,0.158,0.486,0.321,0.03,0.006
5, tt2062659,18,6.8,太阳总在左边,689,7.6,2010, 益西兰周 / 罗后杰 / 尕藏仁青, 中国大陆, The Sun Beaten Path, 松太加, 89分钟, 剧情, 松太加, 藏语,3,0.203,0.46,0.273,0.055,0.009
6, tt1722513,532,5.8,刀见笑,21627,5.7, 2011-03-17(中国大陆) / 2010-09-16(多伦多国际电影节), 安藤政信 / 张雨绮 / 游本昌 / 刘晓晔 / 徐冲 / 韩鹏翼 / 刘桦 / 宁浩 / 熊欣欣 / 董立范, 中国大陆 / 香港 / 美国," The Butcher, the Chef, and the Swordsman / Legend Of The Kitchen Knife / Leave It To Cleaver", 乌尔善, 93分钟, 喜剧 / 动作 / 古装, 张嘉佳 / 唐缺 / 马洛杉 / 乌尔善, 汉语普通话,10,0.056,0.211,0.389,0.22,0.124
7, tt2111368,8,6.6,盲人电影院,548,7,, 刘园园 / 王劲松 / 周一围 / 金士杰 / 热依扎, 中国大陆, My Spectacular Theatre, 路阳, 120分钟, 剧情, 陈舒, 汉语普通话,5,0.131,0.369,0.394,0.084,0.022
8, tt1773370,167,6,喋血孤城,6736,7.3, 2010-08-19, 吕良伟 / 安以轩 / 袁文康 / 杨紫 / 谢孟伟 / 范雷 / 刘奕君, 中国大陆, 常德大血战 / 卫战 / Death and Glory in Changde, 沈东, 88分钟, 剧情 / 历史 / 战争, 马维干 / 连秀凤 / 沈东, 汉语普通话,7,0.145,0.417,0.367,0.059,0.011
9,,,,鲜花,463,8.4, 2009-05-01(中国大陆), 茹扎·达吾列提 / 法蒂哈·马力克 / 阿力木江·吐尔斯拜克, 中国大陆, Flower, 西尔扎提·亚合甫, 95分钟, 剧情, 黄丹, 汉语普通话,3,0.408,0.426,0.141,0.018,0.006
10,,,,不是闹着玩的,3728,7.2, 2010-06-10, 李易祥 / 于根艺 / 曹随风 / 田华, 中国大陆, No Kidding, 卢卫国, 90分钟, 喜剧, 卢卫国, 普通话/国语 / 河南方言,4,0.17,0.394,0.34,0.067,0.029
