省级政区代码,省级政区名称,地市级政区代码,地市级政区名称,年份,党委书记姓名,出生年份,出生月份,籍贯省份代码,籍贯省份名称,籍贯地市代码,籍贯地市名称,性别,民族,教育,是否是党校教育（是=1，否=0）,专业：人文,专业：社科,专业：理工,专业：农科,专业：医科,入党年份,工作年份
130000,河北省,130100,石家庄市,2000,陈来立,,,,,,,,,硕士,1,,,,,,,
130000,河北省,130100,石家庄市,2001,吴振华,,,,,,,,,本科,0,0,0,1,0,0,,
130000,河北省,130100,石家庄市,2002,吴振华,,,,,,,,,本科,0,0,0,1,0,0,,
130000,河北省,130100,石家庄市,2003,吴振华,,,,,,,,,本科,0,0,0,1,0,0,,
130000,河北省,130100,石家庄市,2004,吴振华,,,,,,,,,本科,0,0,0,1,0,0,,
130000,河北省,130100,石家庄市,2005,吴振华,,,,,,,,,本科,0,0,0,1,0,0,,
130000,河北省,130100,石家庄市,2006,吴振华,,,,,,,,,本科,0,0,0,1,0,0,,
130000,河北省,130100,石家庄市,2007,吴显国,,,,,,,,,硕士,1,0,1,0,0,0,,
130000,河北省,130100,石家庄市,2008,吴显国,,,,,,,,,硕士,1,0,1,0,0,0,,
130000,河北省,130100,石家庄市,2009,车俊,,,,,,,,,本科,1,0,1,0,0,0,,
130000,河北省,130100,石家庄市,2010,孙瑞彬,,,,,,,,,硕士,1,0,1,0,0,0,,
130000,河北省,130200,唐山市,2000,白润璋,,,,,,,,,本科,0,0,0,1,0,0,,
130000,河北省,130200,唐山市,2001,白润璋,,,,,,,,,本科,0,0,0,1,0,0,,
130000,河北省,130200,唐山市,2002,白润璋,,,,,,,,,本科,0,0,0,1,0,0,,
130000,河北省,130200,唐山市,2003,张和,,,,,,,,,本科,0,0,0,1,0,0,,
130000,河北省,130200,唐山市,2004,张和,,,,,,,,,本科,0,0,0,1,0,0,,
130000,河北省,130200,唐山市,2005,张和,,,,,,,,,本科,0,0,0,1,0,0,,
130000,河北省,130200,唐山市,2006,张和,,,,,,,,,本科,0,0,0,1,0,0,,
130000,河北省,130200,唐山市,2007,赵勇,,,,,,,,,博士,0,0,1,0,0,0,,
130000,河北省,130200,唐山市,2008,赵勇,,,,,,,,,博士,0,0,1,0,0,0,,
130000,河北省,130200,唐山市,2009,赵勇,,,,,,,,,博士,0,0,1,0,0,0,,
130000,河北省,130200,唐山市,2010,赵勇,,,,,,,,,博士,0,0,1,0,0,0,,
130000,河北省,130300,秦皇岛市,2000,王建忠,,,,,,,,,本科,0,0,0,1,0,0,,
130000,河北省,130300,秦皇岛市,2001,王建忠,,,,,,,,,本科,0,0,0,1,0,0,,
130000,河北省,130300,秦皇岛市,2002,王建忠,,,,,,,,,本科,0,0,0,1,0,0,,
130000,河北省,130300,秦皇岛市,2003,宋长瑞,,,,,,,,,硕士,1,0,1,0,0,0,,
130000,河北省,130300,秦皇岛市,2004,宋长瑞,,,,,,,,,硕士,1,0,1,0,0,0,,
130000,河北省,130300,秦皇岛市,2005,宋长瑞,,,,,,,,,硕士,1,0,1,0,0,0,,
130000,河北省,130300,秦皇岛市,2006,宋长瑞,,,,,,,,,硕士,1,0,1,0,0,0,,
130000,河北省,130300,秦皇岛市,2007,王三堂,,,,,,,,,硕士,1,0,1,0,0,0,,
130000,河北省,130300,秦皇岛市,2008,王三堂,,,,,,,,,硕士,1,0,1,0,0,0,,
130000,河北省,130300,秦皇岛市,2009,王三堂,,,,,,,,,硕士,1,0,1,0,0,0,,
